Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage, ErrorStatus, ErrorCode, ErrorSource
08:33:38.709 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.300000,359.747757,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.073250,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:38.809 PM 04/14/2015,Teleop Enabled,0.000000,21.000000,12.350000,359.753513,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.075750,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:38.908 PM 04/14/2015,Teleop Enabled,0.000000,21.000000,12.350000,359.747904,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.078250,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:39.009 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.350000,359.746640,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.080750,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:39.109 PM 04/14/2015,Teleop Enabled,0.000000,21.000000,12.300000,359.735487,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.083250,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:39.210 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.350000,359.739407,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.085750,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.718750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:39.310 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.300000,359.737524,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.088250,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:39.410 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.350000,359.736608,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.090750,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:39.510 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.400000,359.734988,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.093250,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.593750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:39.610 PM 04/14/2015,Teleop Enabled,0.000000,21.000000,12.350000,359.746523,-0.000000,0.000000,0.000000,0.000000,441.750000,441.500000,TRUE,0.095750,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.593750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
